id_n,Year,rural_urban,region,Employment_Income,job_desc,job_category,employer_activity,employer_activity_code,employer_category,formal,weight
76,2022,1. RURAL,2. AFAR,57600.0,Teacher,3. Technicians and Associate Professionals/ Physical and Engineering Science Associate Professionals,Eductaion,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",3. GOVERNMENT,1. YES,4551.251953
80,2022,1. RURAL,2. AFAR,5700.0,Guard,"9. Elementary Occupations, Sales And Services Elementary Occupations",Agriculture,"1. AGRICULTURE (HUNTING, FORESTRY AND PRODUCTION OF RELATED PRODUCTS AND SERVICES)",4. STATE-OWNED ENTERPRISE,1. YES,70.43728638
100,2022,2. URBAN,2. AFAR,37560.0,Governement employee,"4. Clerks, Office clerks ",Eductaion,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",3. GOVERNMENT,1. YES,502.5141296
101,2022,2. URBAN,2. AFAR,31300.0,Secretary,"4. Clerks, Office clerks ",Secretary service,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",3. GOVERNMENT,1. YES,502.5141296
104,2022,2. URBAN,2. AFAR,19200.0,Guard,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Eductaion,13. EDUCATION,3. GOVERNMENT,1. YES,36.07170486
113,2022,2. URBAN,2. AFAR,8000.0,Carpentry,"9. Elementary Occupations, Sales And Services Elementary Occupations",Home service,"6. CONSTRUCTION (CONTRACTOR, SITE PREPARATION, LAND CLEARING, BUILDING/ HOME CONSTRUCTION)",2. PRIVATE INDIVIDUAL,2. NO,37.53123093
124,2022,2. URBAN,2. AFAR,16500.0,Unskilled labor- any,"9. Elementary Occupations, Sales And Services Elementary Occupations",Labor,14. HEALTH AND SOCIAL WORK,2. PRIVATE INDIVIDUAL,2. NO,2861.32373
129,2022,2. URBAN,2. AFAR,81000.0,Teacher,"1. Legislators, Senior Government Officials and Managers",Public adminstration,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",3. GOVERNMENT,1. YES,37.53123093
130,2022,2. URBAN,2. AFAR,60000.0,Union worker,"4. Clerks, Office clerks ",Public adminstration,13. EDUCATION,3. GOVERNMENT,1. YES,37.53123093
135,2022,2. URBAN,2. AFAR,39996.0,Intelligence service,"1. Legislators, Senior Government Officials and Managers",Public adminstration,18. Information and communication,3. GOVERNMENT,1. YES,36.20042801
136,2022,2. URBAN,2. AFAR,12000.0,Unskilled work- any,"9. Elementary Occupations, Sales And Services Elementary Occupations",Cleaning,14. HEALTH AND SOCIAL WORK,3. GOVERNMENT,1. YES,36.20042801
149,2022,2. URBAN,2. AFAR,74400.0,Office worker,"4. Clerks, Office clerks ",Public adminstration,13. EDUCATION,3. GOVERNMENT,1. YES,3553.66626
150,2022,2. URBAN,2. AFAR,55308.0,Veterinary work,"1. Legislators, Senior Government Officials and Managers",Public adminstration,"1. AGRICULTURE (HUNTING, FORESTRY AND PRODUCTION OF RELATED PRODUCTS AND SERVICES)",3. GOVERNMENT,1. YES,3553.66626
151,2022,2. URBAN,2. AFAR,48000.0,Guard,"9. Elementary Occupations, Sales And Services Elementary Occupations",Service,10. FINANCIAL INTERMEDIATION (EXCEPT INSURANCE AND PENSION FUNDING),5. NON GOVERNMENTAL ORGANIZATIONS,1. YES,622.3071289
166,2022,2. URBAN,2. AFAR,24000.0,Clothes sales,"9. Elementary Occupations, Sales And Services Elementary Occupations",Service provision,8. HOTELS AND RESTAURANTS/ HOTELS (WITH HOTEL ROOMS); CAMPING SITES AND OTHER PROVISION OF SHORT-STAY ACCOMMODATION,2. PRIVATE INDIVIDUAL,2. NO,670.5993042
168,2022,2. URBAN,2. AFAR,8018.0,Teacher,3. Technicians and Associate Professionals/ Physical and Engineering Science Associate Professionals,Education,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",3. GOVERNMENT,1. YES,57.37651443
170,2022,2. URBAN,2. AFAR,73200.0,Teacher,3. Technicians and Associate Professionals/ Physical and Engineering Science Associate Professionals,Eductaion,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",3. GOVERNMENT,1. YES,5432.728516
171,2022,2. URBAN,2. AFAR,130.0,Teacher,3. Technicians and Associate Professionals/ Physical and Engineering Science Associate Professionals,Eductaion,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",3. GOVERNMENT,1. YES,5432.728516
175,2022,2. URBAN,2. AFAR,144000.0,Nursery,3. Technicians and Associate Professionals/ Physical and Engineering Science Associate Professionals,Child care,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",5. NON GOVERNMENTAL ORGANIZATIONS,1. YES,4917.071289
188,2022,2. URBAN,2. AFAR,100800.0,Health worker,"2. Professionals/ Physical, Mathematical and Engineering Science Professionals",Providing Training,"12. PUBLIC ADMINISTRATION DEFENCE, POLICE AND OTEHR GOV'T WORK",3. GOVERNMENT,1. YES,54.87604523
310,2022,1. RURAL,2. AFAR,18000.0,Security service,10. Army/ Member of the Armed Forces,Security,13. EDUCATION,3. GOVERNMENT,2. NO,128.3494263
311,2022,1. RURAL,2. AFAR,7500.0,Culture and tradition promoter,3. Technicians and Associate Professionals/ Physical and Engineering Science Associate Professionals,Eductaion,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",5. NON GOVERNMENTAL ORGANIZATIONS,2. NO,128.3494263
387,2022,1. RURAL,2. AFAR,45600.0,Police,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Secutrity,14. HEALTH AND SOCIAL WORK,3. GOVERNMENT,1. YES,770.9179077
403,2022,2. URBAN,2. AFAR,20400.0,Factory worker,"8. Plant and Machine Operators and Assemblers, Stationary-Plant and Related Operators",Manufacturing,3. MINING AND QUARRYING,5. NON GOVERNMENTAL ORGANIZATIONS,1. YES,86.24865723
539,2022,2. URBAN,2. AFAR,57600.0,Guard,3. Technicians and Associate Professionals/ Physical and Engineering Science Associate Professionals,Cotton production,"1. AGRICULTURE (HUNTING, FORESTRY AND PRODUCTION OF RELATED PRODUCTS AND SERVICES)",1. PRIVATE COMPANY,1. YES,1376.860229
540,2022,2. URBAN,2. AFAR,4800.0,Cleaning service,"9. Elementary Occupations, Sales And Services Elementary Occupations",Cotton production,"1. AGRICULTURE (HUNTING, FORESTRY AND PRODUCTION OF RELATED PRODUCTS AND SERVICES)",1. PRIVATE COMPANY,1. YES,1376.860229
542,2022,2. URBAN,2. AFAR,101500.0,Teacher,3. Technicians and Associate Professionals/ Physical and Engineering Science Associate Professionals,Education,"4. MANUFACTURING (FOR EXAMPLE MANUFACTURING OF FOOD PRODUCTS INCLUDING PROCESSING, CANING AND PRESERVING. WEAVING, BLACKSMITH ETC)",3. GOVERNMENT,1. YES,1094.892456
543,2022,2. URBAN,2. AFAR,2100.0,Computer service,"4. Clerks, Office clerks ",Home service,18. Information and communication,2. PRIVATE INDIVIDUAL,2. NO,1094.892456
544,2022,2. URBAN,2. AFAR,12000.0,House maid,"9. Elementary Occupations, Sales And Services Elementary Occupations",Hotel,10. FINANCIAL INTERMEDIATION (EXCEPT INSURANCE AND PENSION FUNDING),2. PRIVATE INDIVIDUAL,2. NO,73.17782593
545,2022,2. URBAN,2. AFAR,2688.0,Agriculture research,6. Skilled Agricultural and Fishery Workers Market-Oriented Skilled Agricultural and Fishery Workers,Agricultural research,"1. AGRICULTURE (HUNTING, FORESTRY AND PRODUCTION OF RELATED PRODUCTS AND SERVICES)",3. GOVERNMENT,2. NO,73.17782593
546,2022,2. URBAN,2. AFAR,19200.0,Guard,"9. Elementary Occupations, Sales And Services Elementary Occupations",Education,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",3. GOVERNMENT,1. YES,2637.741699
548,2022,2. URBAN,2. AFAR,72000.0,Police,3. Technicians and Associate Professionals/ Physical and Engineering Science Associate Professionals,Community Service,13. EDUCATION,3. GOVERNMENT,1. YES,114.7381592
557,2022,2. URBAN,2. AFAR,74316.0,Agriculture office,"2. Professionals/ Physical, Mathematical and Engineering Science Professionals",Increasing production,"4. MANUFACTURING (FOR EXAMPLE MANUFACTURING OF FOOD PRODUCTS INCLUDING PROCESSING, CANING AND PRESERVING. WEAVING, BLACKSMITH ETC)",3. GOVERNMENT,1. YES,66.2886734
558,2022,2. URBAN,2. AFAR,84420.0,Health Office worker,"2. Professionals/ Physical, Mathematical and Engineering Science Professionals",Health service,"4. MANUFACTURING (FOR EXAMPLE MANUFACTURING OF FOOD PRODUCTS INCLUDING PROCESSING, CANING AND PRESERVING. WEAVING, BLACKSMITH ETC)",3. GOVERNMENT,1. YES,66.2886734
565,2022,2. URBAN,2. AFAR,28128.0,Agriculture office,"9. Elementary Occupations, Sales And Services Elementary Occupations",Agricultural research,"4. MANUFACTURING (FOR EXAMPLE MANUFACTURING OF FOOD PRODUCTS INCLUDING PROCESSING, CANING AND PRESERVING. WEAVING, BLACKSMITH ETC)",3. GOVERNMENT,1. YES,178.6126251
567,2022,2. URBAN,2. AFAR,74316.0,Agriculture office,3. Technicians and Associate Professionals/ Physical and Engineering Science Associate Professionals,Agricultural research,"4. MANUFACTURING (FOR EXAMPLE MANUFACTURING OF FOOD PRODUCTS INCLUDING PROCESSING, CANING AND PRESERVING. WEAVING, BLACKSMITH ETC)",3. GOVERNMENT,1. YES,1062.928589
570,2022,2. URBAN,2. AFAR,16800.0,Agriculture office,"9. Elementary Occupations, Sales And Services Elementary Occupations",Agriculture,"1. AGRICULTURE (HUNTING, FORESTRY AND PRODUCTION OF RELATED PRODUCTS AND SERVICES)",1. PRIVATE COMPANY,2. NO,11162.04785
609,2022,1. RURAL,2. AFAR,1600.0,Green development work,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Security service,13. EDUCATION,3. GOVERNMENT,2. NO,2951.641357
628,2022,1. RURAL,2. AFAR,10800.0,Cleaning service,"9. Elementary Occupations, Sales And Services Elementary Occupations",Health service,"12. PUBLIC ADMINISTRATION DEFENCE, POLICE AND OTEHR GOV'T WORK",3. GOVERNMENT,1. YES,7580.132324
664,2022,2. URBAN,2. AFAR,5600.0,Daily laborer,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Government Institution,"6. CONSTRUCTION (CONTRACTOR, SITE PREPARATION, LAND CLEARING, BUILDING/ HOME CONSTRUCTION)",1. PRIVATE COMPANY,1. YES,4369.391113
671,2022,2. URBAN,2. AFAR,1350.0,Daily laborer,"9. Elementary Occupations, Sales And Services Elementary Occupations",Construction,"6. CONSTRUCTION (CONTRACTOR, SITE PREPARATION, LAND CLEARING, BUILDING/ HOME CONSTRUCTION)",2. PRIVATE INDIVIDUAL,2. NO,105.1993179
683,2022,2. URBAN,2. AFAR,8400.0,Daily laborer,"9. Elementary Occupations, Sales And Services Elementary Occupations",Construction,"6. CONSTRUCTION (CONTRACTOR, SITE PREPARATION, LAND CLEARING, BUILDING/ HOME CONSTRUCTION)",1. PRIVATE COMPANY,2. NO,3514.833252
714,2022,2. URBAN,2. AFAR,4000.0,Guard,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Office,"6. CONSTRUCTION (CONTRACTOR, SITE PREPARATION, LAND CLEARING, BUILDING/ HOME CONSTRUCTION)",1. PRIVATE COMPANY,1. YES,693.465271
717,2022,1. RURAL,2. AFAR,14400.0,Security service,10. Army/ Member of the Armed Forces,Defence,13. EDUCATION,3. GOVERNMENT,1. YES,176.3109894
737,2022,1. RURAL,2. AFAR,46090.0,School director,"4. Clerks, Office clerks ",Education,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",3. GOVERNMENT,1. YES,6769.107422
738,2022,1. RURAL,2. AFAR,100000.0,Construction work,3. Technicians and Associate Professionals/ Physical and Engineering Science Associate Professionals,Construction,"6. CONSTRUCTION (CONTRACTOR, SITE PREPARATION, LAND CLEARING, BUILDING/ HOME CONSTRUCTION)",3. GOVERNMENT,1. YES,6769.107422
739,2022,1. RURAL,2. AFAR,14000.0,Cleaning service,"9. Elementary Occupations, Sales And Services Elementary Occupations",ntshna,10. FINANCIAL INTERMEDIATION (EXCEPT INSURANCE AND PENSION FUNDING),2. PRIVATE INDIVIDUAL,1. YES,6769.107422
741,2022,1. RURAL,2. AFAR,56200.0,Teacher,"4. Clerks, Office clerks ",Eductaion,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",3. GOVERNMENT,1. YES,10789.88574
742,2022,1. RURAL,2. AFAR,56200.0,Teacher,"4. Clerks, Office clerks ",Eductaion,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",3. GOVERNMENT,1. YES,10789.88574
743,2022,1. RURAL,2. AFAR,46800.0,Teacher,"4. Clerks, Office clerks ",Eductaion,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",3. GOVERNMENT,1. YES,10789.88574
744,2022,1. RURAL,2. AFAR,11760.0,Administrator,"4. Clerks, Office clerks ",Public administration,13. EDUCATION,3. GOVERNMENT,1. YES,1355.379639
778,2022,1. RURAL,2. AFAR,7200.0,Military officer,10. Army/ Member of the Armed Forces,Defence,13. EDUCATION,7. POLITICAL PARTY,1. YES,173.903717
800,2022,1. RURAL,2. AFAR,90500.0,Teacher,"2. Professionals/ Physical, Mathematical and Engineering Science Professionals",Eductaion,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",3. GOVERNMENT,1. YES,272.052002
801,2022,1. RURAL,2. AFAR,67308.0,Teacher,3. Technicians and Associate Professionals/ Physical and Engineering Science Associate Professionals,Education,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",3. GOVERNMENT,1. YES,869.1702881
802,2022,1. RURAL,2. AFAR,45672.0,Teacher,3. Technicians and Associate Professionals/ Physical and Engineering Science Associate Professionals,Education,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",3. GOVERNMENT,1. YES,869.1702881
841,2022,1. RURAL,2. AFAR,13500.0,Guard,6. Skilled Agricultural and Fishery Workers Market-Oriented Skilled Agricultural and Fishery Workers,Agriculture development,"1. AGRICULTURE (HUNTING, FORESTRY AND PRODUCTION OF RELATED PRODUCTS AND SERVICES)",1. PRIVATE COMPANY,2. NO,3864.427246
852,2022,2. URBAN,2. AFAR,108000.0,Construction work,"7. Craft And Related Trades Workers, Extraction and Building Trades Workers",Construction,"6. CONSTRUCTION (CONTRACTOR, SITE PREPARATION, LAND CLEARING, BUILDING/ HOME CONSTRUCTION)",3. GOVERNMENT,1. YES,40.78759003
859,2022,2. URBAN,2. AFAR,18000.0,Cleaning service,"9. Elementary Occupations, Sales And Services Elementary Occupations",Pension,17. EXTRA-TERRITORIAL ORGANIZATIONS AND BODIES INCLUDING INTERNATIONAL ORGANIZATIONS AND NGOS,2. PRIVATE INDIVIDUAL,2. NO,41.3829422
887,2022,2. URBAN,2. AFAR,64296.0,Teacher,"2. Professionals/ Physical, Mathematical and Engineering Science Professionals",Eductaion,"4. MANUFACTURING (FOR EXAMPLE MANUFACTURING OF FOOD PRODUCTS INCLUDING PROCESSING, CANING AND PRESERVING. WEAVING, BLACKSMITH ETC)",3. GOVERNMENT,1. YES,605.2818604
895,2022,2. URBAN,2. AFAR,224220.0,Revenue and customs officer,"2. Professionals/ Physical, Mathematical and Engineering Science Professionals",customs,"9. TRANSPORT, STORAGE AND COMMUNICATIONS/LAND TRANSPORT; PEOPLE AND MERCHANDISE",3. GOVERNMENT,1. YES,6.0260005
896,2022,2. URBAN,2. AFAR,110952.0,Procurement officer,"2. Professionals/ Physical, Mathematical and Engineering Science Professionals",customs,"9. TRANSPORT, STORAGE AND COMMUNICATIONS/LAND TRANSPORT; PEOPLE AND MERCHANDISE",3. GOVERNMENT,1. YES,6.0260005
899,2022,2. URBAN,2. AFAR,63732.0,Revenue and customs officer,"2. Professionals/ Physical, Mathematical and Engineering Science Professionals",Support provision,7. TRADE (WHOLESALE AND RETAIL TRADE),3. GOVERNMENT,1. YES,602.1365356
900,2022,2. URBAN,2. AFAR,158184.0,Revenue and customs officer,"2. Professionals/ Physical, Mathematical and Engineering Science Professionals",customs,"4. MANUFACTURING (FOR EXAMPLE MANUFACTURING OF FOOD PRODUCTS INCLUDING PROCESSING, CANING AND PRESERVING. WEAVING, BLACKSMITH ETC)",3. GOVERNMENT,2. NO,6.082187176
902,2022,2. URBAN,2. AFAR,157116.0,Revenue and customs officer,"2. Professionals/ Physical, Mathematical and Engineering Science Professionals",Registry,"4. MANUFACTURING (FOR EXAMPLE MANUFACTURING OF FOOD PRODUCTS INCLUDING PROCESSING, CANING AND PRESERVING. WEAVING, BLACKSMITH ETC)",3. GOVERNMENT,1. YES,6.082187176
903,2022,2. URBAN,2. AFAR,43152.0,Guard,"2. Professionals/ Physical, Mathematical and Engineering Science Professionals",security,"4. MANUFACTURING (FOR EXAMPLE MANUFACTURING OF FOOD PRODUCTS INCLUDING PROCESSING, CANING AND PRESERVING. WEAVING, BLACKSMITH ETC)",3. GOVERNMENT,1. YES,6.082187176
904,2022,2. URBAN,2. AFAR,243960.0,Revenue and customs officer,"2. Professionals/ Physical, Mathematical and Engineering Science Professionals",customs,"9. TRANSPORT, STORAGE AND COMMUNICATIONS/LAND TRANSPORT; PEOPLE AND MERCHANDISE",3. GOVERNMENT,1. YES,602.1365356
905,2022,2. URBAN,2. AFAR,7192.0,Coffee/tea shop,"2. Professionals/ Physical, Mathematical and Engineering Science Professionals",customs,"4. MANUFACTURING (FOR EXAMPLE MANUFACTURING OF FOOD PRODUCTS INCLUDING PROCESSING, CANING AND PRESERVING. WEAVING, BLACKSMITH ETC)",3. GOVERNMENT,1. YES,596.5740356
906,2022,2. URBAN,2. AFAR,145024.0,Revenue and customs officer,"2. Professionals/ Physical, Mathematical and Engineering Science Professionals",customs,"4. MANUFACTURING (FOR EXAMPLE MANUFACTURING OF FOOD PRODUCTS INCLUDING PROCESSING, CANING AND PRESERVING. WEAVING, BLACKSMITH ETC)",3. GOVERNMENT,1. YES,596.5740356
907,2022,2. URBAN,2. AFAR,2000.0,Personal service provider,"9. Elementary Occupations, Sales And Services Elementary Occupations",Home service,10. FINANCIAL INTERMEDIATION (EXCEPT INSURANCE AND PENSION FUNDING),2. PRIVATE INDIVIDUAL,2. NO,596.5740356
909,2022,2. URBAN,2. AFAR,43152.0,ysewhalemulate,"2. Professionals/ Physical, Mathematical and Engineering Science Professionals",ysehabetemulate,"4. MANUFACTURING (FOR EXAMPLE MANUFACTURING OF FOOD PRODUCTS INCLUDING PROCESSING, CANING AND PRESERVING. WEAVING, BLACKSMITH ETC)",3. GOVERNMENT,1. YES,596.5740356
910,2022,2. URBAN,2. AFAR,110688.0,Coffee/tea shop,"2. Professionals/ Physical, Mathematical and Engineering Science Professionals",customs,"4. MANUFACTURING (FOR EXAMPLE MANUFACTURING OF FOOD PRODUCTS INCLUDING PROCESSING, CANING AND PRESERVING. WEAVING, BLACKSMITH ETC)",3. GOVERNMENT,1. YES,596.5740356
912,2022,2. URBAN,2. AFAR,42480.0,Cleaning service,"9. Elementary Occupations, Sales And Services Elementary Occupations",customs,"4. MANUFACTURING (FOR EXAMPLE MANUFACTURING OF FOOD PRODUCTS INCLUDING PROCESSING, CANING AND PRESERVING. WEAVING, BLACKSMITH ETC)",3. GOVERNMENT,1. YES,8.143029213
914,2022,2. URBAN,2. AFAR,57936.0,Secretary,"2. Professionals/ Physical, Mathematical and Engineering Science Professionals",customs,"4. MANUFACTURING (FOR EXAMPLE MANUFACTURING OF FOOD PRODUCTS INCLUDING PROCESSING, CANING AND PRESERVING. WEAVING, BLACKSMITH ETC)",3. GOVERNMENT,1. YES,602.1365356
915,2022,2. URBAN,2. AFAR,35388.0,Cashier,"2. Professionals/ Physical, Mathematical and Engineering Science Professionals",customs,"4. MANUFACTURING (FOR EXAMPLE MANUFACTURING OF FOOD PRODUCTS INCLUDING PROCESSING, CANING AND PRESERVING. WEAVING, BLACKSMITH ETC)",3. GOVERNMENT,1. YES,602.1365356
917,2022,2. URBAN,2. AFAR,81144.0,Revenue and customs officer,"4. Clerks, Office clerks ",Property management,7. TRADE (WHOLESALE AND RETAIL TRADE),3. GOVERNMENT,1. YES,6.082187176
927,2022,1. RURAL,2. AFAR,39600.0,Health worker,3. Technicians and Associate Professionals/ Physical and Engineering Science Associate Professionals,Health service,"12. PUBLIC ADMINISTRATION DEFENCE, POLICE AND OTEHR GOV'T WORK",3. GOVERNMENT,1. YES,1879.78833
947,2022,1. RURAL,2. AFAR,17436.0,Guard,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Health service,"12. PUBLIC ADMINISTRATION DEFENCE, POLICE AND OTEHR GOV'T WORK",3. GOVERNMENT,1. YES,2644.52124
964,2022,2. URBAN,2. AFAR,18000.0,Health worker,"4. Clerks, Office clerks ",Health service,"12. PUBLIC ADMINISTRATION DEFENCE, POLICE AND OTEHR GOV'T WORK",3. GOVERNMENT,1. YES,69.91413879
